epoch,accuracy,loss,val_accuracy,val_loss
0,0.3802933990955353,1.3227754831314087,0.42363113164901733,1.2561328411102295
1,0.6460005640983582,0.9761910438537598,0.6685879230499268,0.8898409605026245
2,0.7924162745475769,0.5832139253616333,0.6714697480201721,0.8225460648536682
3,0.848602294921875,0.4237479865550995,0.6887608170509338,0.7788590788841248
4,0.8854137659072876,0.3320756256580353,0.6743515729904175,0.8528647422790527
5,0.9067257046699524,0.2695511281490326,0.6570605039596558,0.909758448600769
6,0.9261001944541931,0.2230273336172104,0.680115282535553,0.9699032306671143
7,0.9421533346176147,0.19132934510707855,0.6599423885345459,1.0681172609329224
8,0.951287031173706,0.16314660012722015,0.639769434928894,1.1344860792160034
9,0.9570993781089783,0.1440376490354538,0.6570605039596558,1.1665685176849365
10,0.9642956256866455,0.12502972781658173,0.6570605039596558,1.2262301445007324
11,0.9667866230010986,0.11070269346237183,0.6455331444740295,1.2831417322158813
12,0.9678937196731567,0.10641200095415115,0.639769434928894,1.35805344581604
13,0.971491813659668,0.09678851068019867,0.6484149694442749,1.4164355993270874
14,0.9701079726219177,0.09366433322429657,0.6541786789894104,1.4125028848648071
15,0.9712150692939758,0.08548496663570404,0.651296854019165,1.463952898979187
16,0.973706066608429,0.08417436480522156,0.639769434928894,1.4956954717636108
17,0.9739828109741211,0.0763804167509079,0.6426513195037842,1.5296834707260132
18,0.975643515586853,0.07774107158184052,0.6541786789894104,1.568888783454895
19,0.9731525182723999,0.07790756970643997,0.6368876099586487,1.5921446084976196
20,0.9761970639228821,0.06576941162347794,0.6368876099586487,1.6644431352615356
21,0.977027416229248,0.07088789343833923,0.6455331444740295,1.600581169128418
22,0.9745364189147949,0.07078417390584946,0.6282420754432678,1.7214696407318115
23,0.9773041605949402,0.06386120617389679,0.639769434928894,1.7199114561080933
24,0.9759202599525452,0.06412770599126816,0.651296854019165,1.7408310174942017
